Class,Female,Male
B,17762624,21368860
B(auto),543844,197735
B(prov),4328472,3588704
B1,11485134,14981802
B1(inv),150,248
B1(auto),309968,102807
B1(prov),27,22
BE,11165453,14220782
BE(auto),156894,68785
BE(prov),7016675,7303806
A,304047,3344887
A(auto),2098,6933
A(sc),14,280
"A(auto,sc)",0,2
A(prov),20012579,20123341
A2,1703,18129
A2(Auto),41,238
A1,11319,18448
A1(auto),1055,2585
AR2,3933,15338
AR2(auto),281,938
A(tri),9583501,9959904
"A(auto,tri)",0,1
AM(tri),13356,18865
AM,11308319,13818733
AM(auto),0,0
AM(prov),1928739,1800350
P,16759228,20031040
P(auto),41,40
P(prov),1875647,1560901
Q,11320382,13833740
Q(auto),0,0
Q(prov),1928797,1800396
F,18300598,21562500
F(Prov),3812079,3433751
G,11351,74031
G(Prov),19140728,22132545
H,3247,145584
H(Prov),19148823,22061462
K,18308847,21639840
K(Prov),3803808,3356446
L,12101288,14624240
L(Prov),861311,612718
M,1276,5693
M(Prov),156,210
N,12089756,14531586
N(Prov),872697,704912
C1E,8786881,10853713
C1E(auto),93075,35868
C1E(prov),27934,399024
C1,8808441,11035007
C1(auto),93513,40769
C1(Prov),30460,257533
C,32340,901579
C(auto),256,5051
C(prov),26751,237321
CE,13376,557021
CE(auto),11,401
CE(db),800,41660
"CE(auto,db)",0,1
CE(prov),26960,423656
D1,8785356,10735350
D1(auto),99896,88556
D1(prov),41603,399710
D1E,8781277,10689835
D1E(auto),94672,42818
D1E(prov),30186,329048
D,13185,211737
D(auto),5533,52185
D(prov),35426,381292
DE,2625,100861
DE(auto),304,5952
DE(prov),29024,329467